prod_ai,brand,brand_options,n_pts,label_generic,label_effective_time
IOMEPROL,IOMERVU,Iomeron (2) | IOMERVU (1),41,IOMEPROL INJECTION,20260205
IOVERSOL,Optiray 320,Optiray 320 (3) | Optiray 350 (3) | Optiray 300 (1),27,IOVERSOL,20251229
ISTRADEFYLLINE,NOURIANZ,NOURIANZ (1),20,ISTRADEFYLLINE,20250520
LAZERTINIB,LAZCLUZE,LAZCLUZE (1),26,LAZERTINIB,20260505
LEVOCETIRIZINE DIHYDROCHLORIDE,levocetirizine dihydrochloride,levocetirizine dihydrochloride (30) | Levocetirizine Dihydrochloride (24) | LEVOCETIRIZINE DIHYDROCHLORIDE (6) | Allergy Relief (3) | Curist Allergy Relief (2) | allergy relief (2) | 24HR Allergy Relief (1) | ALLERGY RELIEF (1) | Allergy Relief 24HR (1) | Allery Relief 24HR (1),29,LEVOCETIRIZINE DIHYDROCHLORIDE 5MG,20260623
LINACLOTIDE,Linzess,Linzess (1),36,LINACLOTIDE,20260521
LISDEXAMFETAMINE,Lisdexamfetamine Dimesylate,Lisdexamfetamine Dimesylate (3),32,LISDEXAMFETAMINE,20260501
MARIBAVIR,Livtencity,Livtencity (1),39,MARIBAVIR,20260127
MEFENAMIC ACID,Mefenamic Acid,Mefenamic Acid (4) | Mefenamic acid (2),27,MEFENAMIC ACID,20260420
METHYLPREDNISOLONE ACETATE,Methylprednisolone acetate,Methylprednisolone acetate (7) | DEPO-MEDROL (4) | Depo-Medrol (4) | Methylprednisolone Acetate (3) | METHYLPREDNISOLONE ACETATE (2) | methylprednisolone acetate (2) | Medroloan II SUIK (1) | Medroloan SUIK (1),38,METHYLPREDNISOLONE ACETATE,20260421
MOSUNETUZUMAB,Lunsumio,Lunsumio (1) | Lunsumio Velo (1),24,MOSUNETUZUMAB,20260629
NABILONE,Cesamet,Cesamet (1),43,NABILONE,20210119
NIRSEVIMAB,BEYFORTUS,BEYFORTUS (1),23,NIRSEVIMAB,20260428
OLANZAPINE PAMOATE,ZYPREXA Relprevv,ZYPREXA Relprevv (1),37,OLANZAPINE PAMOATE,20260519
OMADACYCLINE,NUZYRA,NUZYRA (1),32,OMADACYCLINE,20260527
OMAVELOXOLONE,SKYCLARYS,SKYCLARYS (1),46,OMAVELOXOLONE,20260406
OSELTAMIVIR PHOSPHATE,Oseltamivir Phosphate,Oseltamivir Phosphate (36) | Oseltamivir phosphate (14) | OSELTAMIVIR PHOSPHATE (13) | Oseltamivir Phosphate for Oral Suspension (4) | oseltamavir phosphate (4) | oseltamivir phosphate (4) | OSELTAMIVIR (2) | Oseltamivir (1) | Tamiflu (1),42,OSELTAMIVIR PHOSPHATE,20260629
OXYBUTYNIN,OXYTROL,OXYTROL (1) | Oxytrol for Women (1),25,OXYBUTYNIN,20240815
OZANIMOD HYDROCHLORIDE,ZEPOSIA,ZEPOSIA (1) | ZEPOSIA 7-Day Starter Pack (1) | ZEPOSIA Starter Kit (1),21,OZANIMOD HYDROCHLORIDE,20260416
PATISIRAN SODIUM,Onpattro,Onpattro (1),26,PATISIRAN,20250908
PAZOPANIB,Pazopanib,Pazopanib (2),26,PAZOPANIB,20251124
PEGFILGRASTIM,STIMUFEND,STIMUFEND (2) | UDENYCA (2) | ARMLUPEG (1) | FYLNETRA (1) | Fulphila (1) | NYVEPRIA (1) | Neulasta (1) | ZIEXTENZO (1),27,PEGFILGRASTIM-APGF,20260602
PEGINTERFERON ALFA-2A,Pegasys,Pegasys (1),34,PEGINTERFERON ALFA-2A,20260707
PERPHENAZINE,Perphenazine,Perphenazine (28) | PERPHENAZINE (4) | perphenazine (4) | Perphenazine and Amitriptyline Hydrochloride (1),23,PERPHENAZINE,20260702
PIOGLITAZONE,PIOGLITAZONE,PIOGLITAZONE (1),21,PIOGLITAZONE,20200101
PITAVASTATIN,ZYPITAMAG,ZYPITAMAG (2),20,PITAVASTATIN MAGNESIUM,20251203
PONATINIB HYDROCHLORIDE,Iclusig,Iclusig (1),36,PONATINIB HYDROCHLORIDE,20260429
PRAVASTATIN SODIUM,PRAVASTATIN SODIUM,PRAVASTATIN SODIUM (75) | Pravastatin Sodium (29) | Pravastatin sodium (25),29,PRAVASTATIN SODIUM,20260707
